feature_extraction_total: 45.7449
model_training_bow: 397.6265
model_training_tfidf: 616.7478
model_training_ngram: 592.4364
model_training_word2vec: 17.4151
model_training_doc2vec: 10.9280
model_training_total: 1635.3816
total_wall_time: 2516.5839

feature	model	train_time	inference_test_time	test_accuracy	test_f1_macro	test_f1_weighted
bow	logistic_regression	264.236302	0.243173	0.964045	0.963062	0.963955
bow	random_forest	19.906416	0.289797	0.959551	0.959172	0.959650
bow	xgboost	392.718209	0.073371	0.952809	0.950920	0.952751
bow	svm	349.812127	13.470211	0.957303	0.956384	0.957262
bow	naive_bayes	1.471575	0.410601	0.970787	0.970242	0.970700
bow	knn	0.518790	3.257538	0.777528	0.773598	0.779199
bow	mlp	57.595643	0.369156	0.968539	0.967430	0.968536
tfidf	logistic_regression	25.975980	0.412760	0.970787	0.969708	0.970796
tfidf	random_forest	22.960657	0.282844	0.950562	0.950267	0.950591
tfidf	xgboost	569.799616	0.153761	0.934831	0.934529	0.934758
tfidf	svm	579.685655	9.815137	0.979775	0.979158	0.979820
tfidf	naive_bayes	1.546057	0.416531	0.975281	0.974444	0.975339
tfidf	knn	0.551087	2.837792	0.952809	0.951524	0.952899
tfidf	mlp	59.377676	0.266284	0.970787	0.969571	0.970792
ngram	logistic_regression	29.034391	0.209329	0.955056	0.953647	0.954953
ngram	random_forest	38.038078	0.437485	0.867416	0.864562	0.866239
ngram	xgboost	450.427983	0.176804	0.876404	0.873175	0.875681
ngram	svm	548.055591	11.061376	0.968539	0.967319	0.968571
ngram	naive_bayes	1.513418	0.412905	0.950562	0.948865	0.950526
ngram	knn	0.541990	3.251031	0.928090	0.925052	0.927738
ngram	mlp	53.552445	0.283277	0.955056	0.953522	0.955077
word2vec	logistic_regression	2.150220	0.024858	0.901124	0.898630	0.901187
word2vec	random_forest	11.053296	0.087049	0.894382	0.891582	0.894542
word2vec	xgboost	9.666437	0.012384	0.905618	0.903264	0.906136
word2vec	svm	1.247144	0.084578	0.916854	0.914128	0.916943
word2vec	naive_bayes	0.041566	0.045480	0.779775	0.753787	0.762526
word2vec	knn	0.001432	0.286183	0.878652	0.874966	0.878210
word2vec	mlp	1.664230	0.001485	0.822472	0.815899	0.820788
doc2vec	logistic_regression	0.531413	0.019433	0.939326	0.938012	0.939014
doc2vec	random_forest	7.200529	0.087024	0.939326	0.937993	0.939505
doc2vec	xgboost	9.452171	0.009864	0.941573	0.940085	0.941746
doc2vec	svm	0.851383	0.062701	0.941573	0.940104	0.941284
doc2vec	naive_bayes	0.019986	0.018047	0.833708	0.816126	0.822300
doc2vec	knn	0.001018	0.268566	0.955056	0.954111	0.955126
doc2vec	mlp	2.056418	0.001482	0.937079	0.935548	0.936575
raw_text	llama	400.268743	17.608368	0.188764	0.063516	0.059948
raw_text	mistral	399.992486	17.556608	0.188764	0.063516	0.059948
