feature_extraction_total: 47.6290
model_training_bow: 395.7668
model_training_tfidf: 614.8884
model_training_ngram: 589.2669
model_training_word2vec: 16.1196
model_training_doc2vec: 10.7344
model_training_total: 1627.0141
total_wall_time: 2507.9252

feature	model	train_time	inference_test_time	test_accuracy	test_f1_macro	test_f1_weighted
bow	logistic_regression	264.287766	0.240324	0.964045	0.963062	0.963955
bow	random_forest	21.211695	0.307271	0.959551	0.959172	0.959650
bow	xgboost	390.648725	0.073870	0.952809	0.950920	0.952751
bow	svm	347.437192	13.330208	0.957303	0.956384	0.957262
bow	naive_bayes	1.514789	0.406441	0.970787	0.970242	0.970700
bow	knn	0.539359	3.261636	0.777528	0.773598	0.779199
bow	mlp	56.767676	0.357759	0.968539	0.967430	0.968536
tfidf	logistic_regression	25.961365	0.389266	0.970787	0.969708	0.970796
tfidf	random_forest	23.365038	0.288099	0.950562	0.950267	0.950591
tfidf	xgboost	569.593792	0.149649	0.934831	0.934529	0.934758
tfidf	svm	577.478844	9.576282	0.979775	0.979158	0.979820
tfidf	naive_bayes	1.549101	0.405455	0.975281	0.974444	0.975339
tfidf	knn	0.558878	2.773638	0.952809	0.951524	0.952899
tfidf	mlp	59.434739	0.284059	0.970787	0.969571	0.970792
ngram	logistic_regression	28.464013	0.223742	0.955056	0.953647	0.954953
ngram	random_forest	37.085969	0.458596	0.867416	0.864562	0.866239
ngram	xgboost	449.233260	0.179529	0.876404	0.873175	0.875681
ngram	svm	545.833553	10.734362	0.968539	0.967319	0.968571
ngram	naive_bayes	1.517892	0.425100	0.950562	0.948865	0.950526
ngram	knn	0.541789	3.274957	0.928090	0.925052	0.927738
ngram	mlp	53.248766	0.271867	0.955056	0.953522	0.955077
word2vec	logistic_regression	1.793907	0.032029	0.907865	0.905620	0.907826
word2vec	random_forest	10.571371	0.078797	0.892135	0.889657	0.892349
word2vec	xgboost	9.445199	0.012129	0.898876	0.896306	0.898999
word2vec	svm	1.153777	0.078886	0.912360	0.909660	0.912645
word2vec	naive_bayes	0.054486	0.038188	0.788764	0.761994	0.770878
word2vec	knn	0.001328	0.256489	0.878652	0.874649	0.878574
word2vec	mlp	2.276335	0.001478	0.847191	0.843619	0.846989
doc2vec	logistic_regression	0.556098	0.014968	0.939326	0.938287	0.938971
doc2vec	random_forest	7.210614	0.081006	0.946067	0.945218	0.946093
doc2vec	xgboost	9.534266	0.010103	0.946067	0.945204	0.946286
doc2vec	svm	0.821224	0.053423	0.932584	0.930619	0.932125
doc2vec	naive_bayes	0.019545	0.017179	0.829213	0.808440	0.816112
doc2vec	knn	0.000967	0.263164	0.948315	0.946046	0.948025
doc2vec	mlp	2.039100	0.001427	0.943820	0.942888	0.943528
raw_text	llama	399.142083	17.947717	0.188764	0.063516	0.059948
raw_text	mistral	399.255379	16.906905	0.188764	0.063516	0.059948
