feature_extraction_total: 49.0418
model_training_bow: 414.5472
model_training_tfidf: 657.8638
model_training_ngram: 631.5343
model_training_word2vec: 17.0185
model_training_doc2vec: 10.9957
model_training_total: 1732.1849
total_wall_time: 2617.8645

feature	model	train_time	inference_test_time	test_accuracy	test_f1_macro	test_f1_weighted
bow	logistic_regression	277.905475	0.272757	0.964045	0.963062	0.963955
bow	random_forest	22.989053	0.317935	0.959551	0.959172	0.959650
bow	xgboost	409.146542	0.078916	0.952809	0.950920	0.952751
bow	svm	363.638399	14.816189	0.957303	0.956384	0.957262
bow	naive_bayes	1.574895	0.414733	0.970787	0.970242	0.970700
bow	knn	0.570800	3.325476	0.777528	0.773598	0.779199
bow	mlp	59.212012	0.369982	0.968539	0.967430	0.968536
tfidf	logistic_regression	26.520052	0.421105	0.970787	0.969708	0.970796
tfidf	random_forest	25.241429	0.303309	0.950562	0.950267	0.950591
tfidf	xgboost	602.034993	0.175320	0.934831	0.934529	0.934758
tfidf	svm	616.678139	10.181688	0.979775	0.979158	0.979820
tfidf	naive_bayes	1.594214	0.435477	0.975281	0.974444	0.975339
tfidf	knn	0.556474	2.919638	0.952809	0.951524	0.952899
tfidf	mlp	64.563024	0.307019	0.970787	0.969571	0.970792
ngram	logistic_regression	30.118991	0.228555	0.955056	0.953647	0.954953
ngram	random_forest	41.589299	0.444815	0.867416	0.864562	0.866239
ngram	xgboost	474.744061	0.201016	0.876404	0.873175	0.875681
ngram	svm	585.345008	11.323752	0.968539	0.967319	0.968571
ngram	naive_bayes	1.617571	0.428072	0.950562	0.948865	0.950526
ngram	knn	0.571813	3.354118	0.928090	0.925052	0.927738
ngram	mlp	56.477755	0.304996	0.955056	0.953522	0.955077
word2vec	logistic_regression	2.160714	0.047394	0.905618	0.903024	0.905707
word2vec	random_forest	11.060077	0.093443	0.883146	0.879913	0.883203
word2vec	xgboost	9.931998	0.012402	0.898876	0.895947	0.898981
word2vec	svm	1.150477	0.074272	0.905618	0.903011	0.905476
word2vec	naive_bayes	0.028934	0.057147	0.782022	0.754738	0.763961
word2vec	knn	0.001364	0.250574	0.876404	0.871764	0.876024
word2vec	mlp	2.442941	0.001491	0.858427	0.856027	0.859671
doc2vec	logistic_regression	0.520907	0.022925	0.934831	0.934235	0.934829
doc2vec	random_forest	7.306064	0.087709	0.939326	0.938021	0.939605
doc2vec	xgboost	9.779087	0.010272	0.928090	0.926606	0.928309
doc2vec	svm	0.790510	0.058637	0.943820	0.943175	0.943909
doc2vec	naive_bayes	0.019588	0.020400	0.826966	0.806948	0.814264
doc2vec	knn	0.001076	0.250091	0.934831	0.932749	0.934781
doc2vec	mlp	2.507477	0.001498	0.937079	0.936137	0.937243
raw_text	llama	400.160173	18.228909	0.188764	0.063516	0.059948
raw_text	mistral	400.591356	17.626664	0.188764	0.063516	0.059948
