feature_extraction_total: 48.0791
model_training_bow: 409.9547
model_training_tfidf: 651.4154
model_training_ngram: 626.0290
model_training_word2vec: 13.6957
model_training_doc2vec: 11.2272
model_training_total: 1712.5599
total_wall_time: 2593.0187

feature	model	train_time	inference_test_time	test_accuracy	test_f1_macro	test_f1_weighted
bow	logistic_regression	172.256208	0.175019	0.964045	0.963062	0.963955
bow	random_forest	14.607464	0.204548	0.959551	0.959172	0.959650
bow	xgboost	303.664983	0.175927	0.952809	0.950920	0.952751
bow	svm	228.281215	7.054063	0.957303	0.956384	0.957262
bow	naive_bayes	0.642885	0.182647	0.970787	0.970242	0.970700
bow	knn	0.227563	1.310325	0.777528	0.773598	0.779199
bow	mlp	30.535455	0.218494	0.968539	0.967430	0.968536
tfidf	logistic_regression	16.554669	0.163221	0.970787	0.969708	0.970796
tfidf	random_forest	15.684251	0.203650	0.950562	0.950267	0.950591
tfidf	xgboost	566.642867	0.172858	0.934831	0.934529	0.934758
tfidf	svm	624.017600	10.386029	0.979775	0.979158	0.979820
tfidf	naive_bayes	0.549456	0.136075	0.975281	0.974444	0.975339
tfidf	knn	0.179507	1.275014	0.952809	0.951524	0.952899
tfidf	mlp	44.085243	0.206450	0.970787	0.969571	0.970792
ngram	logistic_regression	19.403543	0.159615	0.955056	0.953647	0.954953
ngram	random_forest	23.732559	0.238347	0.867416	0.864562	0.866239
ngram	xgboost	439.702079	0.187281	0.876404	0.873175	0.875681
ngram	svm	588.154842	11.612088	0.968539	0.967319	0.968571
ngram	naive_bayes	0.624624	0.173673	0.950562	0.948865	0.950526
ngram	knn	0.217099	1.341827	0.928090	0.925052	0.927738
ngram	mlp	39.004546	0.222052	0.955056	0.953522	0.955077
word2vec	logistic_regression	0.534229	0.017654	0.907865	0.905640	0.907970
word2vec	random_forest	6.771443	0.080029	0.889888	0.887515	0.890214
word2vec	xgboost	12.291037	0.012874	0.912360	0.910117	0.912430
word2vec	svm	0.469189	0.048540	0.910112	0.907488	0.910401
word2vec	naive_bayes	0.006694	0.017120	0.786517	0.758850	0.768332
word2vec	knn	0.001075	0.108972	0.878652	0.874812	0.878187
word2vec	mlp	1.607322	0.011872	0.856180	0.852027	0.856241
doc2vec	logistic_regression	0.325441	0.025772	0.946067	0.945397	0.946009
doc2vec	random_forest	6.302472	0.083328	0.937079	0.935547	0.937062
doc2vec	xgboost	10.139994	0.010036	0.934831	0.934580	0.934814
doc2vec	svm	0.362175	0.022589	0.948315	0.946871	0.948392
doc2vec	naive_bayes	0.002754	0.020107	0.833708	0.816372	0.822828
doc2vec	knn	0.000972	0.102554	0.948315	0.946756	0.948416
doc2vec	mlp	1.216094	0.001471	0.939326	0.938243	0.939134
raw_text	llama	397.493189	17.852007	0.188764	0.063516	0.059948
raw_text	mistral	399.676808	17.326443	0.188764	0.063516	0.059948
